,id|title|starring|writer|editor|
0,0|The Silver Lining|Gayne Whitman|||
1,1||Arthur Christopher Orme Plummer Karen Blanche Ziegler|||
2,2|Kannathil Muthamittal|Nandita Das Rishibala Naval Prakash Raj Madhavan Ranganathan P. S. Keerthana Mincha|Mani Ratnam Sujatha||
3,3|Zeb vs. Paprika|Arthur Stanley Jefferson|Al Giebler||
4,5|American Ninja 2: The Confrontation|Michael Dudikoff Michelle Botes Gary Conway Steve James Larry Poindexter Jeff Weston|Avi Kleinberger Gideon Amir David Geeves Gary Conway||
5,6||Poonam Dhillon Harihar Jariwala Rakhee Gulzar Amitabh Bachchan Balbir Raj Kapoor|Salim Khan Javed Akhtar||
6,7|Slipping Wives|Herbert Rawlinson Priscilla Dean Albert Conti Arthur Stanley Jefferson Oliver Hardy|Harry Eugene Roach H.M. Walker||
7,8||Madhur Jaffrey Zohra Sehgal Barry Foster (actor) Michael Hugh Johnson  Rita Tushingham Aparna Sen Saeed Jaffrey Utpal Dutt|Ruth Prawer Jhabvala James Francis Ivory||
8,9||Genelia D'Souza Hrishitaa Bhatt Nitin Krishnam Raju|N. Shankar||
9,10|Reunion in France|Marion Robert Morrison Lucille Fay LeSueur Phillip Dorn|Marc Connelly Jan Lustig Leslie Bush-Fekete Marvin Borowsky||
10,11|It Happened Here|Reginald Marsh (actor) Bart Allison Pauline Murray Sebastian Lewis Shaw|Kevin Brownlow Andrew Mollo||
11,12||Kamal Haasan|||
12,13||Tom Laughlin (actor)|Delores Taylor Tom Laughlin (actor)||
13,14|Inferno|Daria Nicolodi Irene Miracle Alida Maria Laura von Altenburger Eleonora Giorgi Leigh McCloskey|Dario Argento||
14,15|Lebenszeichen|Wolfgang Reichmann Wolfgang von Ungern-Sternberg Athina Zacharopoulou Peter Brogle|Werner Herzog||
15,16|The Warrens of Virginia|Sarah Blanche Sweet|William Churchill DeMille||
16,17||Robert John Wagner May Britt Robert Mitchum|James Salter Wendell Mayes||
17,18|Abbott and Costello Go to Mars|Lou Costello Dudley Dickerson William Alexander Abbott Mari Blanchard|John Grant (screenwriter) D.D. Beauchamp Howard Christie||
18,19||Mary William Ethelbert Appleton Burke Fania Borach Frances Ethel Gumm|Florence Ryerson Edgar Allan Woolf||
19,20|The Sixth Man|Kadeem Hardison Marlon Wayans|Christopher Reed Cynthia Carle||
20,21|Academy Award for Documentary Feature||||
21,23||Terrance Quinn Mel Gibson Diane Hall|Ron Nyswaner||
22,24|Evil Ambitions|Paul Morris (actor) Renae Raos S. William Hinzman Debbie Ann Rochon Amber Newman Lucy Frashure David Levy (actor)|Mark Burchett Michael D. Fox||
23,25||Leslie William Nielsen August Schellenberg Mimi Kuzyk Stuart Bruce Greenwood|Wendy Wacko Pete White||
24,26|List of Sundance Film Festival award winners||||
25,27|The Sundowners|Peter Alexander Ustinov Robert Mitchum Deborah Jane Kerr-Trimmer|Isobel Lennart||
26,28|Minbo|Nobuko Miyamoto Yasuo Daichi Takehiro Murata|Juzo Itami||
27,29|Corpse Bride|Helena Bonham Carter Tracey Ullman Emily Anita Watson John Christopher Depp II|Caroline Thompson Timothy William Burton John August||
28,30|Sinbad Golden Films||Jack Olesker||
29,31|Saat Hindustani|Amitabh Bachchan Utpal Dutt Jalal Agha|Khwaja Ahmad Abbas||
